image_path,image_name,sample_id,position,repeat_index,status,length_px,dx_px,dy_px,angle_deg,measurement_method,x1_px,y1_px,x2_px,y2_px,band_bbox_x,band_bbox_y,band_bbox_w,band_bbox_h,component_area_px,component_fill,threshold,band_slope,confidence,band_confidence,edge_confidence,edge_left_x_px,edge_right_x_px,edge_left_strength,edge_right_strength,edge_left_contrast,edge_right_contrast,edge_profile_height_px,reference_length_px,length_delta_from_reference_px,length_ratio_to_reference,overlay_path,message
sample_1/pos_2/Pic_2026_04_23_142833_308.bmp,Pic_2026_04_23_142833_308.bmp,s1,pos2,,OK,2733.703811,2733.703807,-0.146661,-0.003074,subpixel_projection_edge,163.622755,505.028240,2897.326563,504.881579,163,463,2731,271,559069,0.755396,122.000000,-0.005000,0.927314,1.000000,0.927314,159.162989,2896.897420,13.017653,14.798777,254.999969,254.999969,271,2737.127188,-3.423377,0.998749,output/detection_overlays/sample_1__pos_2__Pic_2026_04_23_142833_308_overlay.png,
sample_1/pos_2/Pic_2026_04_23_142835_309.bmp,Pic_2026_04_23_142835_309.bmp,s1,pos2,,OK,2733.734783,2733.734765,0.317105,0.006646,subpixel_projection_edge,163.601169,503.951172,2897.335933,504.268277,163,462,2731,272,558318,0.751607,122.000000,-0.004831,0.934266,1.000000,0.934266,159.141403,2896.906791,13.207258,14.862724,254.999969,254.999969,272,2737.127188,-3.392405,0.998761,output/detection_overlays/sample_1__pos_2__Pic_2026_04_23_142835_309_overlay.png,
sample_1/pos_2/Pic_2026_04_23_142837_310.bmp,Pic_2026_04_23_142837_310.bmp,s1,pos2,,OK,2733.737253,2733.737247,0.174653,0.003661,subpixel_projection_edge,163.599222,504.867583,2897.336470,505.042236,163,463,2731,271,558935,0.755214,122.000000,-0.004883,0.934270,1.000000,0.934270,159.139456,2896.907327,13.207358,14.785464,254.999969,254.999969,271,2737.127188,-3.389935,0.998761,output/detection_overlays/sample_1__pos_2__Pic_2026_04_23_142837_310_overlay.png,
sample_1/pos_2/Pic_2026_04_23_142839_311.bmp,Pic_2026_04_23_142839_311.bmp,s1,pos2,,OK,2733.735818,2733.735769,-0.518225,-0.010861,subpixel_projection_edge,163.602654,504.368837,2897.338423,503.850612,163,462,2731,272,558865,0.752344,122.000000,-0.005136,0.935825,1.000000,0.935825,159.142888,2896.909280,13.249783,14.894804,254.999969,254.999969,272,2737.127188,-3.391370,0.998761,output/detection_overlays/sample_1__pos_2__Pic_2026_04_23_142839_311_overlay.png,
sample_1/pos_2/Pic_2026_04_23_142841_312.bmp,Pic_2026_04_23_142841_312.bmp,s1,pos2,,OK,2733.740190,2733.739615,1.772912,0.037158,subpixel_projection_edge,163.595693,503.223269,2897.335308,504.996180,163,462,2731,272,558672,0.752084,122.000000,-0.004298,0.936417,1.000000,0.936417,159.135927,2896.906166,13.265926,14.821718,254.999969,254.999969,272,2737.127188,-3.386998,0.998763,output/detection_overlays/sample_1__pos_2__Pic_2026_04_23_142841_312_overlay.png,
sample_1/pos_2/Pic_2026_04_23_142843_313.bmp,Pic_2026_04_23_142843_313.bmp,s1,pos2,,OK,2733.750454,2733.750448,-0.168780,-0.003537,subpixel_projection_edge,163.593548,504.194115,2897.343996,504.025334,163,462,2731,272,558707,0.752131,122.000000,-0.005009,0.936927,1.000000,0.936927,159.133781,2896.914853,13.279837,14.890951,254.999969,254.999969,272,2737.127188,-3.376735,0.998766,output/detection_overlays/sample_1__pos_2__Pic_2026_04_23_142843_313_overlay.png,
sample_1/pos_2/Pic_2026_04_23_142845_314.bmp,Pic_2026_04_23_142845_314.bmp,s1,pos2,,OK,2733.776396,2733.776367,0.398600,0.008354,subpixel_projection_edge,163.562997,503.910425,2897.339364,504.309024,163,462,2731,272,558385,0.751698,122.000000,-0.004801,0.945938,1.000000,0.945938,159.103231,2896.910221,13.525575,14.755743,254.999969,254.999969,272,2737.127188,-3.350793,0.998776,output/detection_overlays/sample_1__pos_2__Pic_2026_04_23_142845_314_overlay.png,
sample_1/pos_2/Pic_2026_04_23_142847_315.bmp,Pic_2026_04_23_142847_315.bmp,s1,pos2,,OK,2733.727509,2733.727462,0.507130,0.010629,subpixel_projection_edge,163.610957,503.856160,2897.338419,504.363289,163,462,2731,272,559053,0.752597,122.000000,-0.004761,0.932552,1.000000,0.932552,159.151191,2896.909276,13.160498,14.854490,254.999969,254.999969,272,2737.127188,-3.399679,0.998758,output/detection_overlays/sample_1__pos_2__Pic_2026_04_23_142847_315_overlay.png,
sample_1/pos_2/Pic_2026_04_23_142849_316.bmp,Pic_2026_04_23_142849_316.bmp,s1,pos2,,OK,2733.736890,2733.736885,0.164275,0.003443,subpixel_projection_edge,163.591782,504.872772,2897.328667,505.037047,163,463,2731,271,559063,0.755387,122.000000,-0.004887,0.937539,1.000000,0.937539,159.132016,2896.899524,13.296520,14.739716,254.999969,254.999969,271,2737.127188,-3.390298,0.998761,output/detection_overlays/sample_1__pos_2__Pic_2026_04_23_142849_316_overlay.png,
sample_1/pos_2/Pic_2026_04_23_142851_317.bmp,Pic_2026_04_23_142851_317.bmp,s1,pos2,,OK,2733.727153,2733.727107,0.501305,0.010507,subpixel_projection_edge,163.606064,503.859072,2897.333172,504.360377,163,462,2731,272,558154,0.751387,122.000000,-0.004763,0.934322,1.000000,0.934322,159.146298,2896.904029,13.208785,14.863213,254.999969,254.999969,272,2737.127188,-3.400035,0.998758,output/detection_overlays/sample_1__pos_2__Pic_2026_04_23_142851_317_overlay.png,
